Type,Anal.,Sample Name,Sample ID,Origin,Cal. Curve,Manual Dilution,Notes,Date / Time,Spl. No.,Inj. No.,Analysis(Inj.),Area,Conc.,Result,Excluded,Inj. Vol.,Notes2,Remove
Unknown,NPOC,Vial 2_4,Untitled,C:\TOC-L\CalCurves\KP_lowNPOC_0_10.cal,C:\TOC-L\CalCurves\KP_lowNPOC_0_10.2019_10_02_14_58_37.cal,1,,11/21/2019 1:40:31 PM,1,2,NPOC,16.01,-20.54,NPOC:-20.31mg/L,0,50,,
Unknown,NPOC,Vial 2_5,Untitled,C:\TOC-L\CalCurves\KP_lowNPOC_0_10.cal,C:\TOC-L\CalCurves\KP_lowNPOC_0_10.2019_10_02_14_58_37.cal,1,,11/21/2019 1:50:59 PM,1,1,NPOC,28.56,-36.64,NPOC:-36.85mg/L,0,50,,
Unknown,NPOC,Vial 2_5,Untitled,C:\TOC-L\CalCurves\KP_lowNPOC_0_10.cal,C:\TOC-L\CalCurves\KP_lowNPOC_0_10.2019_10_02_14_58_37.cal,1,,11/21/2019 1:54:08 PM,1,2,NPOC,29.42,-37.74,NPOC:-36.85mg/L,1,50,,remove
Unknown,NPOC,Vial 2_5,Untitled,C:\TOC-L\CalCurves\KP_lowNPOC_0_10.cal,C:\TOC-L\CalCurves\KP_lowNPOC_0_10.2019_10_02_14_58_37.cal,1,,11/21/2019 1:57:10 PM,1,3,NPOC,28.89,-37.06,NPOC:-36.85mg/L,0,50,,
Unknown,NPOC,Vial 2_6,Untitled,C:\TOC-L\CalCurves\KP_lowNPOC_0_10.cal,C:\TOC-L\CalCurves\KP_lowNPOC_0_10.2019_10_02_14_58_37.cal,1,,11/21/2019 2:07:40 PM,1,1,NPOC,49.84,-63.93,NPOC:-65.98mg/L,1,50,,remove
Unknown,NPOC,Vial 2_6,Untitled,C:\TOC-L\CalCurves\KP_lowNPOC_0_10.cal,C:\TOC-L\CalCurves\KP_lowNPOC_0_10.2019_10_02_14_58_37.cal,1,,11/21/2019 2:11:03 PM,1,2,NPOC,51.62,-66.22,NPOC:-65.98mg/L,0,50,,
Unknown,NPOC,Vial 2_6,Untitled,C:\TOC-L\CalCurves\KP_lowNPOC_0_10.cal,C:\TOC-L\CalCurves\KP_lowNPOC_0_10.2019_10_02_14_58_37.cal,1,,11/21/2019 2:14:29 PM,1,3,NPOC,51.25,-65.74,NPOC:-65.98mg/L,0,50,,
Unknown,NPOC,Vial 2_7,Untitled,C:\TOC-L\CalCurves\KP_lowNPOC_0_10.cal,C:\TOC-L\CalCurves\KP_lowNPOC_0_10.2019_10_02_14_58_37.cal,1,,11/21/2019 2:25:20 PM,1,1,NPOC,97.08,-124.5,NPOC:-125.9mg/L,0,50,,
Unknown,NPOC,Vial 2_7,Untitled,C:\TOC-L\CalCurves\KP_lowNPOC_0_10.cal,C:\TOC-L\CalCurves\KP_lowNPOC_0_10.2019_10_02_14_58_37.cal,1,,11/21/2019 2:29:03 PM,1,2,NPOC,99.14,-127.2,NPOC:-125.9mg/L,0,50,,
Unknown,NPOC,Vial 2_8,Untitled,C:\TOC-L\CalCurves\KP_lowNPOC_0_10.cal,C:\TOC-L\CalCurves\KP_lowNPOC_0_10.2019_10_02_14_58_37.cal,1,,11/21/2019 2:40:27 PM,1,1,NPOC,193.7,-248.5,NPOC:-250.3mg/L,0,50,,
Unknown,NPOC,Vial 2_8,Untitled,C:\TOC-L\CalCurves\KP_lowNPOC_0_10.cal,C:\TOC-L\CalCurves\KP_lowNPOC_0_10.2019_10_02_14_58_37.cal,1,,11/21/2019 2:44:17 PM,1,2,NPOC,196.5,-252.1,NPOC:-250.3mg/L,0,50,,
Unknown,NPOC,Vial 2_9,Untitled,C:\TOC-L\CalCurves\KP_lowNPOC_0_10.cal,C:\TOC-L\CalCurves\KP_lowNPOC_0_10.2019_10_02_14_58_37.cal,1,,11/21/2019 2:55:55 PM,1,1,NPOC,296.3,-380.1,NPOC:-380.0mg/L,0,50,,
Unknown,NPOC,Vial 2_9,Untitled,C:\TOC-L\CalCurves\KP_lowNPOC_0_10.cal,C:\TOC-L\CalCurves\KP_lowNPOC_0_10.2019_10_02_14_58_37.cal,1,,11/21/2019 2:59:46 PM,1,2,NPOC,296.2,-380,NPOC:-380.0mg/L,0,50,,
Unknown,NPOC,Vial 2_10,Untitled,C:\TOC-L\CalCurves\KP_lowNPOC_0_10.cal,C:\TOC-L\CalCurves\KP_lowNPOC_0_10.2019_10_02_14_58_37.cal,1,,11/21/2019 3:11:27 PM,1,1,NPOC,511.4,-656,NPOC:-651.9mg/L,0,50,,
Unknown,NPOC,Vial 2_10,Untitled,C:\TOC-L\CalCurves\KP_lowNPOC_0_10.cal,C:\TOC-L\CalCurves\KP_lowNPOC_0_10.2019_10_02_14_58_37.cal,1,,11/21/2019 3:15:25 PM,1,2,NPOC,504.9,-647.7,NPOC:-651.9mg/L,0,50,,
Unknown,NPOC,Vial 2_46,Untitled,C:\TOC-L\CalCurves\KP_lowNPOC_0_10.cal,C:\TOC-L\CalCurves\KP_lowNPOC_0_10.2019_10_02_14_58_37.cal,1,,11/22/2019 12:05:13 AM,1,1,NPOC,72.32,-92.77,NPOC:-92.34mg/L,0,50,,
Unknown,NPOC,Vial 2_46,Untitled,C:\TOC-L\CalCurves\KP_lowNPOC_0_10.cal,C:\TOC-L\CalCurves\KP_lowNPOC_0_10.2019_10_02_14_58_37.cal,1,,11/22/2019 12:08:44 AM,1,2,NPOC,71.64,-91.9,NPOC:-92.34mg/L,0,50,,
Unknown,NPOC,Vial 2_47,Untitled,C:\TOC-L\CalCurves\KP_lowNPOC_0_10.cal,C:\TOC-L\CalCurves\KP_lowNPOC_0_10.2019_10_02_14_58_37.cal,1,,11/22/2019 12:19:40 AM,1,1,NPOC,72.29,-92.73,NPOC:-93.84mg/L,0,50,,
Unknown,NPOC,Vial 2_47,Untitled,C:\TOC-L\CalCurves\KP_lowNPOC_0_10.cal,C:\TOC-L\CalCurves\KP_lowNPOC_0_10.2019_10_02_14_58_37.cal,1,,11/22/2019 12:23:22 AM,1,2,NPOC,74.02,-94.95,NPOC:-93.84mg/L,0,50,,
Unknown,NPOC,Vial 2_48,Untitled,C:\TOC-L\CalCurves\KP_lowNPOC_0_10.cal,C:\TOC-L\CalCurves\KP_lowNPOC_0_10.2019_10_02_14_58_37.cal,1,,11/22/2019 12:34:15 AM,1,1,NPOC,56.28,-72.2,NPOC:-72.57mg/L,0,50,,
Unknown,NPOC,Vial 2_48,Untitled,C:\TOC-L\CalCurves\KP_lowNPOC_0_10.cal,C:\TOC-L\CalCurves\KP_lowNPOC_0_10.2019_10_02_14_58_37.cal,1,,11/22/2019 12:37:37 AM,1,2,NPOC,56.87,-72.95,NPOC:-72.57mg/L,0,50,,
Unknown,NPOC,Vial 2_49,Untitled,C:\TOC-L\CalCurves\KP_lowNPOC_0_10.cal,C:\TOC-L\CalCurves\KP_lowNPOC_0_10.2019_10_02_14_58_37.cal,1,,11/22/2019 12:48:26 AM,1,1,NPOC,53.41,-68.51,NPOC:-69.18mg/L,0,50,,
Unknown,NPOC,Vial 2_49,Untitled,C:\TOC-L\CalCurves\KP_lowNPOC_0_10.cal,C:\TOC-L\CalCurves\KP_lowNPOC_0_10.2019_10_02_14_58_37.cal,1,,11/22/2019 12:51:43 AM,1,2,NPOC,54.44,-69.84,NPOC:-69.18mg/L,0,50,,
Unknown,NPOC,Vial 2_50,Untitled,C:\TOC-L\CalCurves\KP_lowNPOC_0_10.cal,C:\TOC-L\CalCurves\KP_lowNPOC_0_10.2019_10_02_14_58_37.cal,1,,11/22/2019 1:02:31 AM,1,1,NPOC,69.36,-88.98,NPOC:-89.42mg/L,0,50,,
Unknown,NPOC,Vial 2_50,Untitled,C:\TOC-L\CalCurves\KP_lowNPOC_0_10.cal,C:\TOC-L\CalCurves\KP_lowNPOC_0_10.2019_10_02_14_58_37.cal,1,,11/22/2019 1:05:59 AM,1,2,NPOC,70.06,-89.87,NPOC:-89.42mg/L,0,50,,
Unknown,NPOC,Vial 2_51,Untitled,C:\TOC-L\CalCurves\KP_lowNPOC_0_10.cal,C:\TOC-L\CalCurves\KP_lowNPOC_0_10.2019_10_02_14_58_37.cal,1,,11/22/2019 1:16:56 AM,1,1,NPOC,69.41,-89.04,NPOC:-89.77mg/L,0,50,,
Unknown,NPOC,Vial 2_51,Untitled,C:\TOC-L\CalCurves\KP_lowNPOC_0_10.cal,C:\TOC-L\CalCurves\KP_lowNPOC_0_10.2019_10_02_14_58_37.cal,1,,11/22/2019 1:20:33 AM,1,2,NPOC,70.55,-90.5,NPOC:-89.77mg/L,0,50,,
Unknown,NPOC,Vial 2_52,Untitled,C:\TOC-L\CalCurves\KP_lowNPOC_0_10.cal,C:\TOC-L\CalCurves\KP_lowNPOC_0_10.2019_10_02_14_58_37.cal,1,,11/22/2019 1:32:13 AM,1,1,NPOC,445.4,-571.4,NPOC:-572.6mg/L,0,50,,
Unknown,NPOC,Vial 2_52,Untitled,C:\TOC-L\CalCurves\KP_lowNPOC_0_10.cal,C:\TOC-L\CalCurves\KP_lowNPOC_0_10.2019_10_02_14_58_37.cal,1,,11/22/2019 1:36:15 AM,1,2,NPOC,447.3,-573.8,NPOC:-572.6mg/L,0,50,,
Unknown,NPOC,Vial 2_53,Untitled,C:\TOC-L\CalCurves\KP_lowNPOC_0_10.cal,C:\TOC-L\CalCurves\KP_lowNPOC_0_10.2019_10_02_14_58_37.cal,1,,11/22/2019 1:47:53 AM,1,1,NPOC,507.5,-651,NPOC:-650.6mg/L,0,50,,
Unknown,NPOC,Vial 2_53,Untitled,C:\TOC-L\CalCurves\KP_lowNPOC_0_10.cal,C:\TOC-L\CalCurves\KP_lowNPOC_0_10.2019_10_02_14_58_37.cal,1,,11/22/2019 1:51:55 AM,1,2,NPOC,506.8,-650.1,NPOC:-650.6mg/L,0,50,,
Unknown,NPOC,Vial 2_54,Untitled,C:\TOC-L\CalCurves\KP_lowNPOC_0_10.cal,C:\TOC-L\CalCurves\KP_lowNPOC_0_10.2019_10_02_14_58_37.cal,1,,11/22/2019 2:03:36 AM,1,1,NPOC,464.4,-595.7,NPOC:-596.4mg/L,0,50,,
Unknown,NPOC,Vial 2_54,Untitled,C:\TOC-L\CalCurves\KP_lowNPOC_0_10.cal,C:\TOC-L\CalCurves\KP_lowNPOC_0_10.2019_10_02_14_58_37.cal,1,,11/22/2019 2:07:34 AM,1,2,NPOC,465.4,-597,NPOC:-596.4mg/L,0,50,,
Unknown,NPOC,Vial 2_55,Untitled,C:\TOC-L\CalCurves\KP_lowNPOC_0_10.cal,C:\TOC-L\CalCurves\KP_lowNPOC_0_10.2019_10_02_14_58_37.cal,1,,11/22/2019 2:17:35 AM,1,1,NPOC,14.75,-18.92,NPOC:-14.09mg/L,1,50,,remove
Unknown,NPOC,Vial 2_55,Untitled,C:\TOC-L\CalCurves\KP_lowNPOC_0_10.cal,C:\TOC-L\CalCurves\KP_lowNPOC_0_10.2019_10_02_14_58_37.cal,1,,11/22/2019 2:20:29 AM,1,2,NPOC,11.43,-14.66,NPOC:-14.09mg/L,0,50,,
Unknown,NPOC,Vial 2_55,Untitled,C:\TOC-L\CalCurves\KP_lowNPOC_0_10.cal,C:\TOC-L\CalCurves\KP_lowNPOC_0_10.2019_10_02_14_58_37.cal,1,,11/22/2019 2:23:21 AM,1,3,NPOC,10.53,-13.51,NPOC:-14.09mg/L,0,50,,
Unknown,NPOC,Vial 2_56,Untitled,C:\TOC-L\CalCurves\KP_lowNPOC_0_10.cal,C:\TOC-L\CalCurves\KP_lowNPOC_0_10.2019_10_02_14_58_37.cal,1,,11/22/2019 2:33:30 AM,1,1,NPOC,5.784,-7.42,NPOC:-9.783mg/L,1,50,,remove
Unknown,NPOC,Vial 2_56,Untitled,C:\TOC-L\CalCurves\KP_lowNPOC_0_10.cal,C:\TOC-L\CalCurves\KP_lowNPOC_0_10.2019_10_02_14_58_37.cal,1,,11/22/2019 2:36:08 AM,1,2,NPOC,7.664,-9.831,NPOC:-9.783mg/L,0,50,,
Unknown,NPOC,Vial 2_56,Untitled,C:\TOC-L\CalCurves\KP_lowNPOC_0_10.cal,C:\TOC-L\CalCurves\KP_lowNPOC_0_10.2019_10_02_14_58_37.cal,1,,11/22/2019 2:38:46 AM,1,3,NPOC,7.588,-9.734,NPOC:-9.783mg/L,0,50,,
Unknown,NPOC,Vial 2_57,Untitled,C:\TOC-L\CalCurves\KP_lowNPOC_0_10.cal,C:\TOC-L\CalCurves\KP_lowNPOC_0_10.2019_10_02_14_58_37.cal,1,,11/22/2019 2:48:31 AM,1,1,NPOC,5.13,-6.581,NPOC:-8.139mg/L,1,50,,remove
Unknown,NPOC,Vial 2_57,Untitled,C:\TOC-L\CalCurves\KP_lowNPOC_0_10.cal,C:\TOC-L\CalCurves\KP_lowNPOC_0_10.2019_10_02_14_58_37.cal,1,,11/22/2019 2:51:09 AM,1,2,NPOC,6.56,-8.415,NPOC:-8.139mg/L,0,50,,
Unknown,NPOC,Vial 2_57,Untitled,C:\TOC-L\CalCurves\KP_lowNPOC_0_10.cal,C:\TOC-L\CalCurves\KP_lowNPOC_0_10.2019_10_02_14_58_37.cal,1,,11/22/2019 2:53:47 AM,1,3,NPOC,6.13,-7.864,NPOC:-8.139mg/L,0,50,,
